,Country Code,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Central government debt, total (% of GDP)","Population, total","Population, female (% of total population)","Inflation, consumer prices (annual %)",Real interest rate (%),Deposit interest rate (%),Lending interest rate (%),Country Name,Country,Continent
39,NLD,1960,12276734172.082758,0.0,1068.7845872373507,0.0,0.0,11486631.0,50.1809474314061,2.32394366197218,0.0,0.0,0.0,Netherlands,Netherlands,Europe
40,NOR,1960,5163271598.157023,0.0,1441.755660026327,0.0,0.0,3581239.0,50.1812358998414,0.360492346844622,0.0,0.0,0.0,Norway,Norway,Europe
41,NZL,1960,5485854791.970964,0.0,2312.9499923985854,0.0,0.0,2371800.0,49.7517836677391,0.697929233796477,0.0,0.0,0.0,New Zealand,New Zealand,Oceania
43,PAK,1960,3749265014.6997066,0.0,81.58694729620093,0.0,0.0,45954226.0,46.0437501438932,6.94736842105289,0.0,0.0,0.0,Pakistan,Pakistan,Asia
44,PAN,1960,537147100.0,0.0,476.6214222144138,0.0,0.0,1126989.0,49.1229284402953,0.051177072415786,0.0,0.0,0.0,Panama,Panama,North America
45,PHL,1960,7515894110.564875,0.0,263.8371237951994,0.0,0.0,28486871.0,49.5446481293084,4.15482177982161,0.0,0.0,0.0,Philippines,Philippines,Asia
46,PRT,1960,3193200404.3729734,0.0,360.4992985068581,0.0,0.0,8857716.0,52.1589549031919,3.046592778327,0.0,0.0,0.0,Portugal,Portugal,Europe
48,SDN,1960,1127011494.2528737,0.0,100.319816589355,0.0,0.0,8326462.0,49.685892999932,0.092240285829437,0.0,0.0,0.0,Sudan,Sudan,Africa
49,SUR,1960,99650000.0,0.0,371.2797508159585,0.0,0.0,268396.0,49.8558100716851,2.85714285714284,0.0,0.0,0.0,Suriname,Suriname,South America
50,SWE,1960,15822585033.576399,0.0,2114.002972691918,0.0,0.0,7484656.0,50.1013693639107,4.14177915090215,0.0,0.0,0.0,Sweden,Sweden,Europe
52,THA,1960,2760750860.621967,0.0,103.80095656727822,0.0,0.0,26596584.0,49.910514824009,-0.765864332603765,0.0,0.0,0.0,Thailand,Thailand,Asia
53,TTO,1960,535670127.74893546,0.0,632.3852272486645,0.0,0.0,847063.0,49.8019627819891,2.08000000007815,0.0,0.0,0.0,Trinidad and Tobago,Trinidad and Tobago,North America
55,URY,1960,1208333333.3333333,0.0,477.786990828994,0.0,0.0,2529021.0,49.9138599481776,38.5040374002647,0.0,0.0,0.0,Uruguay,Uruguay,South America
56,USA,1960,543300000000.0,0.0,3007.1234453786165,0.0,0.0,180671000.0,50.4387361591624,1.45797598627791,0.0,0.0,4.82083333333333,United States,United States,North America
